,PM2.5,Season,Dew,Humi,Pres,Temp,W_dir,W_speed,Prec,Prec_cum
2010-01-01 23:00:00,129.0,4,-17.0,41.0,1020.0,-5.0,cv,0.89,0.0,0.0
2010-01-02 00:00:00,148.0,4,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0
2010-01-02 01:00:00,159.0,4,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0
2010-01-02 02:00:00,181.0,4,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0
2010-01-02 03:00:00,138.0,4,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0
2010-01-02 04:00:00,109.0,4,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0
2010-01-02 05:00:00,105.0,4,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0
2010-01-02 06:00:00,124.0,4,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0
2010-01-02 07:00:00,120.0,4,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0
2010-01-02 08:00:00,132.0,4,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0
2010-01-02 09:00:00,140.0,4,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0
2010-01-02 10:00:00,152.0,4,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0
2010-01-02 11:00:00,148.0,4,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0
2010-01-02 12:00:00,164.0,4,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0
2010-01-02 13:00:00,158.0,4,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0
2010-01-02 14:00:00,154.0,4,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0
2010-01-02 15:00:00,159.0,4,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0
2010-01-02 16:00:00,164.0,4,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0
2010-01-02 17:00:00,170.0,4,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0
2010-01-02 18:00:00,149.0,4,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0
2010-01-02 19:00:00,154.0,4,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0
2010-01-02 20:00:00,164.0,4,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0
2010-01-02 21:00:00,156.0,4,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0
2010-01-02 22:00:00,126.0,4,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0
2010-01-02 23:00:00,90.0,4,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0
2010-01-03 00:00:00,63.0,4,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4
2010-01-03 01:00:00,65.0,4,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9
2010-01-03 02:00:00,55.0,4,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4
2010-01-03 03:00:00,65.0,4,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1
2010-01-03 04:00:00,83.0,4,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3
2010-01-03 05:00:00,91.0,4,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0
2010-01-03 06:00:00,86.0,4,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0
2010-01-03 07:00:00,82.0,4,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7
2010-01-03 08:00:00,86.0,4,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2
2010-01-03 09:00:00,78.0,4,-11.0,85.0,1023.0,-9.0,SE,93.86,0.7,6.9
2010-01-03 10:00:00,98.0,4,-11.0,85.0,1023.0,-9.0,SE,97.88,0.4,7.3
2010-01-03 11:00:00,107.0,4,-11.0,85.0,1022.0,-9.0,SE,102.8,0.5,7.8
2010-01-03 12:00:00,90.0,4,-11.0,85.0,1021.0,-9.0,SE,105.93,1.1,8.9
2010-01-03 13:00:00,96.0,4,-11.0,85.0,1020.0,-9.0,SE,111.74,0.5,9.4
2010-01-03 14:00:00,95.0,4,-11.0,85.0,1020.0,-9.0,SE,116.66,0.3,9.7
2010-01-03 15:00:00,86.0,4,-11.0,85.0,1020.0,-9.0,SE,121.58,0.5,10.2
2010-01-03 16:00:00,70.0,4,-11.0,85.0,1020.0,-9.0,SE,124.71,0.2,10.4
2010-01-03 17:00:00,61.0,4,-11.0,85.0,1020.0,-9.0,SE,127.84,0.1,10.5
2010-01-03 18:00:00,53.0,4,-11.0,85.0,1021.0,-9.0,cv,0.89,0.4,10.9
2010-01-03 19:00:00,71.0,4,-11.0,85.0,1022.0,-9.0,cv,1.78,0.3,11.2
2010-01-03 20:00:00,72.0,4,-10.0,92.0,1022.0,-9.0,NW,4.02,0.0,0.0
2010-01-03 21:00:00,76.0,4,-11.0,92.0,1023.0,-10.0,NW,7.15,0.0,0.0
2010-01-03 22:00:00,73.0,4,-11.0,85.0,1023.0,-9.0,NW,11.17,0.0,0.0
2010-01-03 23:00:00,79.0,4,-12.0,92.0,1023.0,-11.0,NW,14.3,0.0,0.0
2010-01-04 00:00:00,58.0,4,-14.0,85.0,1023.0,-12.0,NW,16.09,0.0,0.0
2010-01-04 01:00:00,25.0,4,-16.0,56.0,1023.0,-9.0,NW,21.9,0.0,0.0
2010-01-04 02:00:00,26.0,4,-17.0,56.0,1024.0,-10.0,NW,29.95,0.0,0.0
2010-01-04 03:00:00,28.0,4,-18.0,56.0,1024.0,-11.0,NW,39.78,0.0,0.0
2010-01-04 04:00:00,26.0,4,-19.0,51.0,1025.0,-11.0,NW,48.72,0.0,0.0
2010-01-04 05:00:00,20.0,4,-20.0,51.0,1026.0,-12.0,NW,55.87,0.0,0.0
2010-01-04 06:00:00,29.0,4,-21.0,47.0,1027.0,-12.0,NW,64.81,0.0,0.0
